Algo,TFIDF,Stemming,Punc,Stopword,Time,Accuracy
BernoulliNB,1,Lemmatizer,Space,>3,2.24801904,88.19
BernoulliNB,1,Snowball,Space,>2,4.85916465,88.1825
SVM,0,Nothing,Space,>2,39.29367693,88.145
BernoulliNB,0,Nothing,Space,>3,1.24066559,88.1325
MultinomialNB,0,Porter,Space,>3,5.87328481,88.12
BernoulliNB,1,Porter,Space,>2,6.5853453,88.075
BernoulliNB,0,Snowball,Space,>3,4.29988952,88.05
SVM,0,Lemmatizer,Nothing,>2,44.54450273,88.045
BernoulliNB,1,Porter,Space,>3,5.88078495,88
BernoulliNB,1,Lemmatizer,Space,>2,2.45068438,87.9675
BernoulliNB,0,Snowball,Nothing,>2,4.82908807,87.96
SVM,0,Porter,Nothing,>2,42.75279413,87.9575
BernoulliNB,0,Porter,Space,>2,6.54112192,87.955
BernoulliNB,0,Lemmatizer,Space,>3,2.23546094,87.955
ComplementNB,0,Porter,Space,>3,5.87916724,87.9475
ComplementNB,1,Nothing,Space,>3,1.25895522,87.9325
ComplementNB,0,Snowball,Space,>3,4.36431691,87.93
SVM,0,Snowball,Space,>2,34.74427375,87.925
BernoulliNB,0,Porter,Space,>3,5.81793343,87.915
SVM,0,Lemmatizer,Space,>2,40.21072261,87.905
BernoulliNB,1,Snowball,Nothing,>2,4.86488947,87.9
BernoulliNB,1,Nothing,Nothing,>2,1.2311045,87.89
SVM,0,Porter,Nothing,>3,37.81352784,87.875
BernoulliNB,0,Porter,Nothing,>2,6.55183156,87.86
SVM,0,Lemmatizer,Space,>3,33.0255076,87.835
SVM,0,Nothing,Nothing,>3,38.47641125,87.8325
ComplementNB,1,Nothing,Space,>2,1.27693769,87.8325
SVM,0,Lemmatizer,Nothing,>3,38.675517,87.8275
SVM,0,Nothing,Space,>3,36.36593173,87.8275
SVM,0,Snowball,Space,>3,31.16777137,87.8125
SVM,0,Snowball,Nothing,>3,33.3241846,87.8
BernoulliNB,1,Porter,Nothing,>2,6.62345212,87.7975
BernoulliNB,0,Nothing,Nothing,>2,1.20621617,87.73
ComplementNB,1,Snowball,Space,>2,5.35742021,87.685
ComplementNB,1,Lemmatizer,Space,>2,2.47219717,87.6725
ComplementNB,1,Porter,Space,>3,5.93545033,87.6525
SVM,0,Porter,Space,>3,32.85925855,87.62
BernoulliNB,1,Lemmatizer,Nothing,>2,2.39838507,87.6175
ComplementNB,1,Porter,Space,>2,6.63065563,87.605
